CName;SName;n_SName;Teff;u_Teff;f_Teff;<vsini>;e_<vsini>;W4026;u_W4026;W4387;u_W4387;W4471;u_W4471;<vsiniHe>;e_<vsiniHe>;SimbadName;_RA;_DE
IC 2944  ;HD 101070       ;dg;29550; ; ;   ;  ; 2.7; ; 2.1; ; 2.9;:; 85; 9;HD 101070            ;174.34468;-63.14961
IC 2944  ;HD 101084       ;  ;26750; ; ;   ;  ; 3.7; ;    ; ; 3.7; ;129;10;HD 101084            ;174.38308;-63.34767
IC 2944  ;HD 101223       ;dg;30800; ;1;   ;  ; 2.4;:; 1.9; ; 2.2; ; 70; 4;HD 101223            ;174.59487;-63.20078
IC 2944  ;HD 101413       ;  ;28430; ; ;   ;  ; 3.4; ; 3.6; ;    ; ;136;17;HD 101413            ;174.94100;-63.47781
IC 2944  ;HD 101436       ;dg;33270; ;1;   ;  ;    ; ;    ; ; 2.3;:; 76;  ;HD 101436            ;174.95816;-63.47876
IC 2944  ;HD 308810       ;  ;26400; ; ; 51; 4; 2.1; ; 1.8; ; 2.0; ; 52; 9;HD 308810            ;174.79299;-63.31439
IC 2944  ;HD 308813       ;  ;33320; ;1;   ;  ; 4.4; ; 4.2; ; 5.1; ;186;11;HD 308813            ;174.49353;-63.31651
IC 2944  ;HD 308817       ;  ;22940; ; ; 57; 3; 2.7; ; 2.1; ; 2.5; ; 70; 4;HD 308817            ;174.48052;-63.34850
IC 2944  ;HD 308833       ;  ;23340; ; ;   ;  ; 6.5; ; 5.7;:;    ; ;261;33;HD 308833            ;175.04819;-63.49525
Lac OB1  ;HD 214167       ;  ;26720; ; ; 18; 1;    ; ; 1.4; ;    ; ; 32;  ;HD 214167            ;338.96786;+39.63433
Lac OB1  ;HD 214680       ;  ;33690; ;1; 23; 2;    ; ; 1.1; ;    ; ; 17;  ;HD 214680            ;339.81533;+39.05027
Lac OB1  ;HD 216916       ;  ;23520; ; ; 11; 2;    ; ; 1.2; ;    ; ; 16;  ;HD 216916            ;344.09846;+41.60388
Lac OB1  ;HD 217227       ;  ;19000; ; ; 15; 2;    ; ; 1.3; ;    ; ; 17;  ;HD 217227            ;344.69059;+43.83875
Lac OB1  ;HD 217811       ;  ;19070; ; ;  7; 2;    ; ; 1.2; ;    ; ; 12;  ;HD 217811            ;345.68812;+44.05875
Lac OB1  ;HD 218674       ;  ;18840; ; ;   ;  ;    ; ; 7.8; ;    ; ;324;  ;HD 218674            ;347.31977;+49.65061
Mon OB2  ;HD 46106        ;  ;29150; ; ;   ;  ; 3.2;:; 2.7; ; 3.6;:;114; 9;HD 46106             ;097.90999;+05.02678
Mon OB2  ;HD 46202        ;  ;31500; ;1; 24; 3;    ; ; 1.1; ; 1.3; ; 20; 2;HD 46202             ;098.04364;+04.96662
Mon OB2  ;HD 46966        ;  ;30230; ;1;   ;  ; 2.0; ; 1.6; ; 1.7; ; 48; 3;HD 46966             ;099.10787;+06.08319
Mon OB2  ;HD 47360        ;  ;26250; ; ;   ;  ; 5.3; ; 5.6; ; 6.3; ;237;11;HD 47360             ;099.59630;+04.62415
Mon OB2  ;HD 47417        ;  ;31550; ;1;   ;  ; 3.4; ; 3.2; ; 3.7; ;129; 1;HD 47417             ;099.69969;+06.90188
Mon OB2  ;HD 259105       ;  ;27750; ; ;   ;  ; 4.6; ; 4.5; ; 5.0; ;189; 1;HD 259105            ;097.96668;+04.93258
NGC 1893 ;S2R2N43         ;  ;24020; ; ; 54; 5;    ; ; 1.8; ;    ; ; 52;  ;Cl* NGC 1893 CUF 2243;080.71760;+33.38423
NGC 1893 ;S2R3N09         ;  ;26160; ; ; 11; 3;    ; ; 1.2; ; 1.2; ; 15; 4;Cl* NGC 1893 CUF 2309;080.85460;+33.43595
NGC 2414 ;LS 400          ;  ;30000; ; ;   ;  ; 5.0; ; 5.3; ; 5.4; ;218; 7;LS 400               ;111.52317;-16.06421
NGC 2414 ;LS 404          ;  ;23260; ; ; 32; 5; 2.0; ; 1.5; ; 1.5; ; 30; 4;LS 404               ;111.55542;-15.97667
NGC 2414 ;LS 427a         ;dd;28790; ; ;   ;  ; 3.4; ; 3.2; ; 3.6;:;125; 3;LS 427               ;112.08042;-15.35472
NGC 2414 ;LS 427b         ;dd;28790; ; ;   ;  ; 3.8; ; 3.6; ; 4.0;:;145; 3;LS 427               ;112.08042;-15.35472
NGC 2414 ;LS 428          ;  ;28140; ; ; 33; 3; 1.9; ; 1.4; ; 1.6; ; 36; 5;LS 428               ;112.12125;-15.29750
NGC 2414 ;LS 531          ;  ;26070; ; ;   ;  ; 4.5; ; 4.5; ; 4.8; ;181; 5;LS 531               ;113.43208;-15.82361
NGC 2439 ;CD -32 4257a    ;dd;28560; ; ;   ;  ;    ; ; 5.0; ; 5.5; ;213; 3;CD -32 4257          ;114.83759;-32.51804
NGC 2439 ;CD -32 4257b    ;dd;28560; ; ;   ;  ;    ; ; 6.2; ; 6.5; ;263; 1;CD -32 4257          ;114.83759;-32.51804
NGC 2439 ;CPD -33 1682    ;* ;33210; ;1;   ;  ; 2.3; ; 2.0;:; 2.0; ; 67; 3;CPD -33 1682         ;115.41658;-33.83169
NGC 2439 ;HD 61851        ;  ;28060; ; ;   ;  ; 4.0;:; 3.7;:; 4.1; ;151; 5;HD 61851             ;114.99460;-31.51275
NGC 2439 ;LS 709          ;  ;31410; ;1;   ;  ; 4.5; ; 4.8; ; 5.8; ;209;20;LS 709               ;115.95333;-32.75222
NGC 3576 ;HD 97499        ;  ;28590; ; ;   ;  ; 4.9; ; 4.8; ; 5.0;:;201; 8;HD 97499             ;168.04148;-61.31228
NGC 4755 ;CPD -59 4532    ;  ;23610; ; ; 71; 2; 2.6; ; 2.1; ; 2.2; ; 65; 2;CPD -59 4532         ;193.35692;-60.36672
NGC 4755 ;CPD -59 4535    ;  ;22930; ; ; 68; 4; 2.7; ; 2.1; ; 2.5; ; 69; 4;CPD -59 4535         ;193.35000;-60.38333
NGC 4755 ;CPD -59 4544    ;  ;24330; ; ; 69; 5; 2.6; ; 2.1; ; 2.4; ; 69; 3;CPD -59 4544         ;193.40846;-60.37767
NGC 4755 ;CPD -59 4557    ;  ;23240; ; ;   ;  ; 3.7; ; 2.9; ; 4.0; ;122;12;CPD -59 4557         ;193.45625;-60.38408
NGC 4755 ;CPD -59 4560    ;  ;22390; ; ;192;12; 4.5; ; 4.4; ; 4.7; ;170; 5;CPD -59 4560         ;193.46762;-60.37442
NGC 6031 ;NGC 6031 12     ;* ;19050; ; ;   ;  ; 1.9; ;    ; ; 1.4; ; 21; 5;NGC 6031 12          ;241.87665;-54.02754
NGC 6031 ;NGC 6031 40     ;  ;19010;:; ;   ;  ; 3.5; ;    ; ; 3.3; ;103; 6;NGC 6031 40          ;241.92181;-53.98827
NGC 6031 ;NGC 6031 74     ;  ;21600;:; ;   ;  ; 2.2;:;    ; ; 1.6; ; 34; 0;NGC 6031 74          ;241.92904;-54.01706
NGC 6204 ;CPD -46 8206    ;  ;15000;:; ;   ;  ; 1.8;:; 1.3;:; 1.1;:; 29; 9;CPD -46 8206         ;251.55131;-47.00340
NGC 6204 ;HD 150627       ;  ;29620; ; ;   ;  ; 3.8; ; 3.6; ; 4.0; ;147; 3;HD 150627            ;251.14424;-47.47410
NGC 6204 ;LS 3719         ;  ;24120; ; ; 77; 6; 2.3; ; 1.8; ; 2.5; ; 59;13;LS 3719              ;251.03537;-47.46892
NGC 6604 ;BD -12 4978     ;  ;27750; ; ; 61; 4; 2.3; ; 2.0; ; 2.3; ; 66; 8;BD -12 4978          ;274.50471;-12.23711
NGC 6611 ;BD -12 5074     ;  ;26210; ; ; 19; 3; 2.1; ; 1.6; ; 1.7; ; 43; 2;BD -12 5074          ;277.52587;-12.84095
NGC 6611 ;BD -13 4921     ;  ;29540; ; ; 86; 7;    ; ; 2.4; ; 3.0; ; 93; 5;BD -13 4921          ;274.62482;-13.83267
NGC 6611 ;BD -13 4929     ;  ;30600; ;1;   ;  ; 2.6;:; 2.0; ; 1.9; ; 71; 9;BD -13 4929          ;274.69107;-13.77525
NGC 6611 ;BD -13 4930     ;  ;30830; ;1; 20; 3;    ; ; 1.1; ; 1.2; ; 15; 2;BD -13 4930          ;274.71948;-13.82851
NGC 6611 ;BD -13 4934     ;  ;30970; ;1; 80; 6;    ; ; 2.4; ; 2.7; ; 89; 2;BD -13 4934          ;274.77321;-13.91403
NGC 6611 ;HD 170452       ;  ;29890; ; ;   ;  ; 3.2;:;    ; ; 3.4; ;115; 2;HD 170452            ;277.50515;-12.94862
NGC 6231 ;CPD -41 7723    ;  ;24920; ; ; 26; 2; 2.1; ; 1.6; ; 1.5; ; 37; 5;CPD -41 7723         ;253.52796;-41.83531
NGC 6231 ;CPD -41 7730    ;  ;24670; ; ; 12; 1; 1.9; ; 1.4; ; 1.4; ; 26; 3;CPD -41 7730         ;253.54694;-41.81494
NGC 6231 ;HD 326332       ;  ;27030; ; ; 23; 3; 1.7; ; 1.2; ; 1.4; ; 21; 5;HD 326332            ;253.64925;-41.83672
NGC 6231 ;HD 326364       ;  ;29610; ; ; 19; 4; 1.6; ; 1.1; ; 1.2; ; 14; 2;HD 326364            ;253.15597;-42.27886
Pismis 20;Pismis 20 6     ;  ;27650; ; ;   ;  ;    ; ;    ; ; 2.4; ; 76;  ;Pismis 20 6          ;228.86000;-59.07028
R 105    ;HD 144900       ;  ;27340; ; ;   ;  ; 3.0;:; 2.9;:; 3.5;:;110; 6;HD 144900            ;242.59247;-48.96722
R 105    ;HD 144970       ;  ;30760; ;1;   ;  ; 3.2; ; 3.1; ; 3.2; ;115;10;HD 144970            ;242.69760;-49.02210
R 103    ;CPD -50 9216    ;  ;20040; ; ;   ;  ;    ; ; 5.6; ;    ; ;230;  ;CPD -50 9216         ;244.76875;-50.89967
Sct OB2  ;BD -08 4617     ;  ;31410; ;1;   ;  ; 3.1; ; 2.8; ; 2.9; ;105; 9;BD -08 4617          ;277.30970;-08.56136
Sct OB2  ;BD -08 4634     ;  ;29360; ; ;   ;  ; 2.4; ; 2.2; ; 2.5; ; 77; 7;BD -08 4634          ;278.60623;-08.09857
Sct OB2  ;HD 172367       ;  ;28640; ; ;   ;  ; 5.3;:; 5.7; ; 6.2;:;240;10;HD 172367            ;280.04046;-07.25055
Sct OB2  ;HD 172427       ;  ;26360; ; ; 53; 5; 2.3; ; 1.9; ; 2.0; ; 58; 5;HD 172427            ;280.13406;-10.71859
Sct OB2  ;HD 172488       ;  ;26530; ; ;100; 7; 2.9; ; 2.6; ; 2.9; ; 92; 4;HD 172488            ;280.20022;-08.71880
Sct OB2  ;HD 173637       ;  ;31950; ;1;   ;  ; 4.5; ; 5.0; ;    ; ;200;15;HD 173637            ;281.65867;-07.93198
Sh 2-16  ;LS 4381         ;  ;22500; ; ;   ;  ; 3.3;:;    ; ; 2.9; ; 93;10;LS 4381              ;266.66875;-29.30028
Sh 2-29  ;HD 166192       ;* ;28010; ; ;   ;  ; 3.7; ; 3.2;:; 3.5;:;127;12;HD 166192            ;272.63635;-23.91902
Sh 2-32  ;HD 166033       ;  ;27290; ; ; 73; 4; 2.4; ; 2.0; ; 2.5; ; 69; 8;HD 166033            ;272.44476;-23.64576
Sh 2-32  ;HD 314031       ;  ;27650; ; ; 94; 3; 2.9; ; 2.5; ; 3.2; ; 96; 5;HD 314031            ;272.46512;-23.61426
Sh 2-47  ;Sh 2-47 3       ;  ;29870; ; ; 16; 2; 1.6; ; 1.1; ; 1.2; ; 14; 2;[L85] S47 3          ;274.56044;-15.58167
Sh 2-247 ;Sh 2-247 1      ;  ;31560; ;1; 23; 5; 1.7; ; 1.2; ; 1.3; ; 22; 1;MFJ Sh 2-247 1       ;092.13375;+21.61091
Sh 2-253 ;LS 45           ;  ;22830; ; ; 22; 4;    ; ; 1.4; ; 1.3; ; 20; 6;LS 45                ;096.23167;+19.76528
Sh 2-253 ;LS 51           ;  ;32630; ;1;   ;  ; 6.1; ; 6.6;:; 7.9;:;277; 5;LS 51                ;096.35375;+19.76667
Sh 2-284 ;HD 48691        ;  ;27870; ; ; 53; 6; 2.2; ; 1.8; ; 1.9; ; 56; 3;HD 48691             ;101.15231;+00.58931
Sh 2-285 ;BD -00 1491     ;  ;29480; ; ; 12; 2;    ; ; 1.0; ; 1.2; ; 11; 3;BD -00 1491          ;103.82208;-00.56111
Sh 2-289 ;Sh 2-289 2      ;  ;25060; ; ;   ;  ;    ; ; 2.3; ; 2.4; ; 76; 5;MFJ Sh 2-289 2       ;101.43917;-07.30778
Sh 2-289 ;Sh 2-289 4      ;  ;24560; ; ;   ;  ;    ; ; 2.2; ; 1.2; ; 66;11;MFJ Sh 2-289 4       ;101.45958;-07.32556
Sh 2-301 ;LS 212          ;  ;21980; ; ;   ;  ; 5.0; ; 5.9; ; 5.7; ;219;23;LS 212               ;107.53125;-18.44500
Stock 16 ;CPD -61 3576    ;  ;29100; ; ;   ;  ; 2.6;:; 2.3;:; 2.9;:; 86; 7;CPD -61 3576         ;199.66371;-62.53005
Stock 16 ;CPD -61 3579    ;  ;27840; ; ; 78; 6; 2.6; ; 2.2; ; 2.6; ; 79; 3;CPD -61 3579         ;199.67544;-62.51328
Stock 16 ;CPD -61 3581    ;  ;25810; ; ;   ;  ; 5.9;:; 6.3;:; 6.9;:;267;11;CPD -61 3581         ;199.68755;-62.50123
Tr 27    ;LS 4257         ;  ;29460; ; ; 88; 4; 2.5; ; 2.2; ; 2.8; ; 82; 7;LS 4257              ;264.06942;-33.63611
Tr 27    ;LS 4264         ;  ;22360; ; ;   ;  ; 3.1; ; 2.9;:; 3.7;:;103;13;LS 4264              ;264.10521;-33.51903
Tr 27    ;LS 4271         ;  ;32190; ;1; 61;10; 2.1; ; 1.7; ; 2.0; ; 56; 6;LS 4271              ;264.16588;-33.35461
Vul OB1  ;BD +24 3880     ;  ;30410; ;1; 11; 1;    ; ; 1.1; ;    ; ; 21;  ;BD +24 3880          ;296.74369;+24.55321
Vul OB1  ;BD +24 3843     ;  ;23250; ; ;   ;  ;    ; ; 4.1; ; 3.4; ;148;25;BD +24 3843          ;295.46969;+24.34755
Vul OB1  ;HD 344783       ;  ;31010; ;1; 25; 2; 1.7; ; 1.3; ; 1.4; ; 27; 5;HD 344783            ;295.77829;+23.27011
Vul OB1  ;NGC 6823 Hoag6  ;  ;31550; ;1;   ;  ;    ; ; 2.2; ; 2.6; ; 83; 3;Cl* NGC 6823 Hoag 6  ;295.80196;+23.27481
         ;RL 41           ;  ;20350; ; ;   ;  ;    ; ; 2.9; ; 3.3; ;100; 6;RL 41                ;091.27080;+23.67591

